[Instrumentation] 2024-09-12 20:30:19,725 [INFO]: Instrumentation Logger configured
[Instrumentation] 2024-09-12 20:30:19,731 [INFO]: Stream configured
[Instrumentation] 2024-09-12 20:30:20,901 [INFO]: defaultdict(<class 'list'>, {'AIN48': [10.120201880784407], 'AIN49': [7.975804988035634], 'AIN50': [7.349987332682758], 'AIN51': [6.7383856260885295], 'AIN64': [3.4715606013514844], 'AIN65': [9.782178210301026], 'AIN66': [10.120201880784407], 'AIN67': [7.1080002938133475], 'AIN68': [7.0915729752478], 'AIN80': [10.120201880784407], 'AIN81': [7.530056016958952], 'AIN82': [7.21003921490319]})
[Instrumentation] 2024-09-12 20:30:20,984 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.806503278176933], 'AIN49': [8.002657335690856], 'AIN50': [7.372416940724179], 'AIN51': [6.77092435324721], 'AIN64': [3.4952538492825624], 'AIN65': [9.80334417845279], 'AIN66': [10.120201880784407], 'AIN67': [7.100102544502988], 'AIN68': [7.0978911746960875], 'AIN80': [10.120201880784407], 'AIN81': [7.5493265252762285], 'AIN82': [7.230889273082539]})
[Instrumentation] 2024-09-12 20:30:21,067 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.76796226154238], 'AIN49': [7.9729617982839045], 'AIN50': [7.340825943482741], 'AIN51': [6.733962886474728], 'AIN64': [3.3764716996547577], 'AIN65': [9.776491830797568], 'AIN66': [10.120201880784407], 'AIN67': [7.150648140089288], 'AIN68': [7.121584422627166], 'AIN80': [10.120201880784407], 'AIN81': [7.517419618062377], 'AIN82': [7.203721015454903]})
[Instrumentation] 2024-09-12 20:30:21,151 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.948030945818573], 'AIN49': [8.005816435415], 'AIN50': [7.375260130475908], 'AIN51': [6.764922063771337], 'AIN64': [3.5982405002896485], 'AIN65': [9.822614686770066], 'AIN66': [10.120201880784407], 'AIN67': [7.083991135909855], 'AIN68': [7.0767252065443245], 'AIN80': [10.120201880784407], 'AIN81': [7.5509060751383], 'AIN82': [7.23531201269634]})
[Instrumentation] 2024-09-12 20:30:21,234 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.807135098121762], 'AIN49': [7.974225438173562], 'AIN50': [7.34145776342757], 'AIN51': [6.737437896171286], 'AIN64': [4.890628197436854], 'AIN65': [9.78028275046654], 'AIN66': [10.120201880784407], 'AIN67': [7.14717313039273], 'AIN68': [7.1307458118271825], 'AIN80': [10.120201880784407], 'AIN81': [7.52057871778652], 'AIN82': [7.2024573755652455]})
[Instrumentation] 2024-09-12 20:30:21,317 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.876635292052924], 'AIN49': [8.00297324566327], 'AIN50': [7.367362381165549], 'AIN51': [6.7636584238816795], 'AIN64': [3.733765878455415], 'AIN65': [9.814085117514878], 'AIN66': [10.120201880784407], 'AIN67': [7.129798081909939], 'AIN68': [7.113370763344392], 'AIN80': [10.120201880784407], 'AIN81': [7.543008325827941], 'AIN82': [7.225834713523909]})
[Instrumentation] 2024-09-12 20:30:21,401 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.99762881148763], 'AIN49': [7.970750428477004], 'AIN50': [7.34145776342757], 'AIN51': [6.731751516667828], 'AIN64': [4.228480895256325], 'AIN65': [9.782810030245855], 'AIN66': [10.120201880784407], 'AIN67': [7.14717313039273], 'AIN68': [7.131693541744426], 'AIN80': [10.120201880784407], 'AIN81': [7.52057871778652], 'AIN82': [7.202141465592831]})
[Instrumentation] 2024-09-12 20:30:21,484 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.673821089762896], 'AIN49': [8.002657335690856], 'AIN50': [7.364835101386234], 'AIN51': [6.7560765845437345], 'AIN64': [4.620841080994978], 'AIN65': [9.81850785712868], 'AIN66': [10.120201880784407], 'AIN67': [7.141486750889271], 'AIN68': [7.122532152544409], 'AIN80': [10.120201880784407], 'AIN81': [7.541112865993455], 'AIN82': [7.22520289357908]})
[Instrumentation] 2024-09-12 20:30:21,567 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.708255276756063], 'AIN49': [7.973909528201148], 'AIN50': [7.33640320386894], 'AIN51': [6.731751516667828], 'AIN64': [4.043357651421502], 'AIN65': [9.787864589804485], 'AIN66': [10.120201880784407], 'AIN67': [7.167707278599664], 'AIN68': [7.145593580530658], 'AIN80': [10.120201880784407], 'AIN81': [7.517419618062377], 'AIN82': [7.1948755362273005]})
[Instrumentation] 2024-09-12 20:30:21,651 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.942344566315114], 'AIN49': [7.96759132875286], 'AIN50': [7.337666843758598], 'AIN51': [6.726696957109198], 'AIN64': [3.846861648579761], 'AIN65': [9.78028275046654], 'AIN66': [10.120201880784407], 'AIN67': [7.171814108241051], 'AIN68': [7.169918648406565], 'AIN80': [10.120201880784407], 'AIN81': [7.5054150391106305], 'AIN82': [7.196139176116958]})
[Instrumentation] 2024-09-12 20:30:21,734 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.597370876438617], 'AIN49': [7.994759586380496], 'AIN50': [7.363255551524162], 'AIN51': [6.757656134405806], 'AIN64': [4.7949074757952985], 'AIN65': [9.82071922693558], 'AIN66': [10.120201880784407], 'AIN67': [7.132325361689254], 'AIN68': [7.133589001578912], 'AIN80': [10.120201880784407], 'AIN81': [7.540481046048626], 'AIN82': [7.223307433744594]})
[Instrumentation] 2024-09-12 20:30:21,818 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.860207973487377], 'AIN49': [7.968223148697689], 'AIN50': [7.327241814668923], 'AIN51': [6.727328777054026], 'AIN64': [3.9871256763317433], 'AIN65': [9.780598660438955], 'AIN66': [10.120201880784407], 'AIN67': [7.195507356172129], 'AIN68': [7.1594936193168905], 'AIN80': [10.120201880784407], 'AIN81': [7.506678679000288], 'AIN82': [7.185714147027284]})
[Instrumentation] 2024-09-12 20:30:21,901 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.881689851611554], 'AIN49': [7.989705026821866], 'AIN50': [7.355041892241388], 'AIN51': [6.745019735509231], 'AIN64': [4.343472125215158], 'AIN65': [9.812505567652806], 'AIN66': [10.120201880784407], 'AIN67': [7.163600448958277], 'AIN68': [7.155702699647918], 'AIN80': [10.120201880784407], 'AIN81': [7.529740106986537], 'AIN82': [7.211618764765262]})
[Instrumentation] 2024-09-12 20:30:21,984 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.630541423542127], 'AIN49': [7.960957219332158], 'AIN50': [7.3281895445861664], 'AIN51': [6.721642397550568], 'AIN64': [4.403179110001474], 'AIN65': [9.782810030245855], 'AIN66': [10.120201880784407], 'AIN67': [7.190768706585914], 'AIN68': [7.185082327082455], 'AIN80': [10.120201880784407], 'AIN81': [7.501624119441658], 'AIN82': [7.184134597165212]})
[Instrumentation] 2024-09-12 20:30:22,068 [INFO]: defaultdict(<class 'list'>, {'AIN48': [9.732896254604384], 'AIN49': [7.992232306601181], 'AIN50': [7.354725982268974], 'AIN51': [6.753233394792005], 'AIN64': [4.372851752649694], 'AIN65': [9.81850785712868], 'AIN66': [10.120201880784407], 'AIN67': [7.163916358930692], 'AIN68': [7.145593580530658], 'AIN80': [10.120201880784407], 'AIN81': [7.530371926931366], 'AIN82': [7.216989234296307]})
